COUNTRY_CODE,COUNTRY,CONTINENT
STP,"Sao Tome and Principe",Africa
SAU,"Saudi Arabia",Asia
SCT,Scotland,Europe
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,"Sierra Leone",Africa
SGP,Singapore,Asia
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,"Solomon Islands",Oceania
SOM,Somalia,Africa
ZAF,"South Africa",Africa
KOR,"South Korea",Asia
SSD,"South Sudan",Africa
ESP,Spain,Europe
LKA,"Sri Lanka",Asia
SDN,Sudan,Africa
SUR,Suriname,"South America"
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Asia
TWN,Taiwan,Asia
TJK,Tajikistan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TGO,Togo,Africa
TKL,Tokelau,Others
TON,Tonga,Oceania
TTO,"Trinidad and Tobago","North America"
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,"United Arab Emirates",Asia
GBR,"United Kingdom",Europe
USA,"United States","North America"
VIR,"United States Virgin Islands","North America"
URY,Uruguay,"South America"
UZB,Uzbekistan,Asia
VUT,Vanuatu,Oceania
VEN,Venezuela,"South America"
VNM,Vietnam,Asia
WLS,Wales,Europe
YEM,Yemen,Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
